company,count,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education,company_clean
Amazon,8126,8126,8126,8126,8126,8126,8126,7948,8126,8126,8126,5525,4905,8126,8126,8126,8126,8126,8126,8126,8126,8126,8126,8126,8126,8126,2675,3665,8126
Microsoft,5216,5216,5216,5216,5216,5216,5216,5079,5216,5216,5216,3641,2927,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,5216,1678,2310,5216
Google,4330,4330,4330,4330,4330,4330,4330,4246,4330,4330,4330,2978,2532,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,1361,1917,4330
Facebook,2990,2990,2990,2990,2990,2990,2990,2938,2990,2990,2990,2118,1892,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,1040,1431,2990
Apple,2028,2027,2028,2028,2028,2028,2028,1985,2028,2028,2028,1384,1172,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,616,915,2028
Oracle,1128,1128,1128,1128,1128,1128,1128,1114,1128,1128,1128,802,733,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,421,569,1128
Salesforce,1056,1056,1056,1056,1056,1056,1056,1041,1056,1056,1056,695,573,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,307,441,1056
Intel,949,949,949,949,949,949,949,936,949,949,949,693,640,949,949,949,949,949,949,949,949,949,949,949,949,949,341,540,949
IBM,907,907,907,907,907,907,907,903,907,907,907,676,598,907,907,907,907,907,907,907,907,907,907,907,907,907,369,465,907
Cisco,907,906,907,907,907,907,907,896,907,907,907,645,586,907,907,907,907,907,907,907,907,907,907,907,907,907,325,473,907
Uber,880,880,880,880,880,880,880,863,880,880,880,588,442,880,880,880,880,880,880,880,880,880,880,880,880,880,201,321,880
Capital One,778,778,778,778,778,778,778,773,778,778,778,558,494,778,778,778,778,778,778,778,778,778,778,778,778,778,280,351,778
LinkedIn,701,701,701,701,701,701,701,682,701,701,701,451,356,701,701,701,701,701,701,701,701,701,701,701,701,701,183,259,701
VMware,657,657,657,657,657,657,657,652,657,657,657,449,427,657,657,657,657,657,657,657,657,657,657,657,657,657,249,331,657
Qualcomm,565,565,565,565,565,565,565,559,565,565,565,367,302,565,565,565,565,565,565,565,565,565,565,565,565,565,128,232,565
JPMorgan Chase,541,541,541,541,541,541,541,541,541,541,541,400,381,541,541,541,541,541,541,541,541,541,541,541,541,541,245,283,541
Bloomberg,537,536,537,537,537,537,537,536,537,537,537,384,369,537,537,537,537,537,537,537,537,537,537,537,537,537,195,269,537
Goldman Sachs,469,469,469,469,469,469,469,468,469,469,469,339,346,469,469,469,469,469,469,469,469,469,469,469,469,469,192,259,469
Intuit,449,449,449,449,449,449,449,442,449,449,449,320,287,449,449,449,449,449,449,449,449,449,449,449,449,449,160,224,449
PayPal,426,425,426,426,426,426,426,425,426,426,426,300,283,426,426,426,426,426,426,426,426,426,426,426,426,426,162,226,426
Deloitte,401,401,401,401,401,401,401,401,401,401,401,279,328,401,401,401,401,401,401,401,401,401,401,401,401,401,209,258,401
Twitter,395,395,395,395,395,395,395,388,395,395,395,262,264,395,395,395,395,395,395,395,395,395,395,395,395,395,128,186,395
